PROFESSOR|DIA DA SEMANA|HORA INICIO|HORA TERMINO|LOCAL|20201
LUIS FERNANDO PERES CALIL|Terça-feira|15:10|16:10|U265
LUIS ORLANDO EMERICH DOS SANTOS*|Segunda-feira|15:10|17:00|U256
LUIS ORLANDO EMERICH DOS SANTOS*|Terça-feira|09:30|11:00|U256
LUIS ORLANDO EMERICH DOS SANTOS*|Terça-feira|13:30|16:00|U256
LUIS ORLANDO EMERICH DOS SANTOS*|Quarta-feira|13:30|15:00|U256
LUIZ EDUARDO BUENO MINIOLI*||||
MAÍRA FERNANDES GAUER PALMA*||||
MARCELO HEIDEMANN*|Segunda-feira|13:30|16:00|U166
MARCELO HEIDEMANN*|Terça-feira|15:10|17:30|U166
MARCOS ALVES RABELO|Segunda-feira|13:30|15:10|Sala U264
MARCUS VINICIUS VOLPONI MORTEAN|Terça-feira|09:00|10:00|U268
MARIA SIMONE KUGERATSKI SOUZA|Terça-feira|13:30|15:00|sala U285
MAURÍCIO DE CAMPOS PORATH*||||
MILTON EVANGELISTA DE OLIVEIRA FILHO|Segunda-feira|13:30|16:30|U164
MILTON EVANGELISTA DE OLIVEIRA FILHO|Terça-feira|13:30|16:30|U164
MILTON EVANGELISTA DE OLIVEIRA FILHO|Quarta-feira|09:30|11:30|U164
MILTON EVANGELISTA DE OLIVEIRA FILHO|Sexta-feira|15:30|16:30|U164
MODESTO HURTADO FERRER*||||
MOISÉS FERBER DE VIEIRA LESSA|Sexta-feira|09:30|10:30|sala u290
PABLO ANDRETTA JASKOWIAK|Quarta-feira|13:00|15:00|U284
PEDRO PAULO DE ANDRADE JÚNIOR|Segunda-feira|13:00|16:00|Sala -U255
RAFAEL DE CAMARGO CATAPAN*|Segunda-feira|08:00|10:00|L289
RAFAEL GALLINA DELATORRE*||||
RAFAEL GIGENA CUENCA*||||
RAFAEL MACHADO CASALI*||||
RÉGIS KOVACS SCALICE|Sexta-feira|09:00|10:00|u151
RENATA CAVION|Quinta-feira|13:00|16:00|u293
RENATO OBA*||||
RICARDO AURÉLIO QUINHÕES PINTO*||||
ROBERTO SIMONI*|Segunda-feira|13:30|15:30|u264
ROMULO ALBERTO CASTILLO CARDENAS*|Terça-feira|17:00|18:00|U165
SÉRGIO JUNICHI IDEHARA|Sexta-feira|13:30|15:00|U261
SILVIA LOPES DE SENA TAGLIALENHA*|Segunda-feira|08:00|10:00|U267
SIMONE BECKER LOPES|Terça-feira|14:00|16:00|SALA U255
SIMONE MALUTTA*||||
SUELI FISCHER BECKERT*||||
SUSIE CRISTINE KELLER|Quarta-feira|09:30|11:30|U288
TALITA SAUTER POSSAMAI*||||
TATIANA RENATA GARCIA|Quarta-feira|08:30|10:30|Sala U288
TATIANA RENATA GARCIA|Quinta-feira|08:30|10:30|Sala U288
THALES MAIER DE SOUZA*|Quarta-feira|14:00|16:00|U271
THIAGO ANTONIO FIORENTIN*||||
THIAGO PONTIN TANCREDI|Terça-feira|10:30|11:45|Sala U257
THIAGO PONTIN TANCREDI|Terça-feira|13:30|16:00|Sala U257
THIAGO PONTIN TANCREDI|Quarta-feira|13:30|15:30|Sala U257
TIAGO VIEIRA DA CUNHA*||||
VALERIA BENNACK|Quarta-feira|09:30|10:30|Sala U296
VALERIA BENNACK|Quinta-feira|16:00|17:30|Sala U296
VANINA MACOWSKI DURSKI SILVA*||||
VICTOR SIMOES BARBOSA*||||
VITOR TAKASHI ENDO||||
VIVIANE LILIAN SOETHE*||||
VIVIANE VASCONCELLOS FERREIRA GRUBISIC*||||
WAGNER MAURÍCIO PACHEKOSKI*||||
WYLLIAN BEZERRA DA SILVA|Quinta-feira|09:00|11:00|U292
XISTO LUCAS TRAVASSOS JUNIOR*||||
YADER ALFONSO GUERRERO PEREZ|Sexta-feira|10:00|12:00|sala U266
YESID ERNESTO ASAFF MENDOZA|Terça-feira|13:00|17:50|U291
DANIEL VICENTE FILIPAK VANIN* (substituto lei 8745/93)||||
EDUARDO BONCI CAVALCA* (substituto lei 8745/93)||||
EVERTON PERES CORREA* (substituto lei 8745/93)||||
FERNANDA ALQUINI* (substituto lei 8745/93)||||
HAZIM ALI AL QURESHI* (professor visitante senior)||||
JOÃO PEDRO ASSUMPÇÃO BASTOS* (professor visitante)||||
JORGE OSCAR HASSEH (voluntario)||||
LAIS LEDRA* (substituto lei 8745/93)||||
MARCOS VINICIUS BRESSAN* (substituto lei 8745/93)||||
RAFAELLA DE SOUZA MARTINS* (substituto lei 8745/93)||||
VANESSA APARECIDA ALVES DE LIMA (lotacao provisoria)|Terça-feira|13:30|15:00|Sala U252
VANESSA APARECIDA ALVES DE LIMA (lotacao provisoria)|Quarta-feira|13:30|15:00|Sala U252
VANESSA APARECIDA ALVES DE LIMA (lotacao provisoria)|Sexta-feira|11:00|12:00|Sala U252
